Comment,Designator,Footprint,LCSC
1k,R3,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
1k,R1,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
1k,R2,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
1k,R4,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
